ID,FirstName,LastName,Patronymic,Email,Password,Role
1,Олександр,Шевченко,Олександрович,oleksandr.shevchenko@gmail.com,wT2g6hZj,User
2,Марина,Іванова,Сергійович,marina.ivanova@gmail.com,Xp8sR1kF,User
3,Іван,Петров,Вікторович,ivan.petrov@gmail.com,L0nZ3qU8,Admin
4,Анастасія,Коваль,Миколаївна,anastasia.koval@gmail.com,Pq7w0LxT,User
5,Дмитро,Гриценко,Андрійович,dmitro.hrytsenko@gmail.com,kN5v0Mza,User
6,Євген,Хмельницький,Дмитрович,yevhen.hmelnitskiy@gmail.com,QwtFJ01z2,Admin
7,John,Smith,Riders,JohmSmittRiders@gmail.com,51fsafsa51,User
8,Dexter,Morgan,Dmitriyovich,DexterMorgan@gmail.com,123456,User
9,fpasfpsaasfp,pfqsofopqop,dsapdpsaasdp,fosa@gmail.com,fsofsa1,Admin
10,dpsapdsa,faspfpas,fosafosa,dsoasod@gma.com,123123,User
11,fsafas,pqpdoq,rqwqqrt,dasfmghk@gmail.com,123456,User
12,FOASOFSQ,pfsqp,fsoafoqo,dsapfap@gmail.com,123123,User
13,Daniel,Batko,Admin,DanielBatkoAdmin@gmail.com,20252025,Admin
14,qdwqdqwQWEWQRSDADSAFSA,fsosqfqkfq,fosafosaq,fosadsaogmk@ghmial.com,123456,User
15,fsapfsap@gmail.com,fosasfo,faofaso@,fsoao@gmail.com,123456,User
16,аыф,вфыф,аыаф,fsafsa@gmail.com,123123,User
17,АІФАФІФІА,АФІФІА,ЗАІФЗАІФЗ,ВАФІАІФАІФ@GMAIL.COM,123456,User
18,АФЫЫА,АЫФАФЫЫА,АЫФАФЫАФЫ,fsapf@gmail.com,111111,User
19,вфвф,вфвфаыфафы,афыаыф,adm.@g,111111,Admin
20,f[qsfq[fq,fpsafpasp,fpsafpsapfap,fsapfsapaf@gmail.com,111111,User
21,АФІЗ,ХАЙЙ,АЗІЙД,FPQOSFDAO@GMAIL.COM,111111,User
22,Ivan,Quickly,Real,IvanReal@gmail.com,123456,User
23,pfpassf,fspfas,fqpqfpfqp@gma.,ffa@g.,123456,User
24,dfsa,ваіф,ічсф,віфаіф@.,123456,User
25,віф,віфвіф,ваій,віфів@.,123456,User
26,ащыйащйы,ащыффыащ,ащфыфыащфыащфы,fsoafoaso@gmail.com,123123,User
27,заызаф,аызфзаф,афызфыаз,sfpap@gma.,123123,User
28,fspfsa,fpsapfsqapfsqp,fqpfpqqwfppfwq,fwpqdfpqwp@g.,123123,User
29,pdfqwpdwqwsdp,dfqspqsfpfsqpqsfpfpqs,fsp[sfqpfqspqsfpqsfp,fsapasfpasfpASFP@g.,123123,User
30,віф,віф,аіф,sfpsfasasffsam@gmaail.com,123123,User
31,віф,віф,віф,dsadoas@,.,123123,User
